Country Code,le_1990,le_2023,gdp_1990,gdp_2023,pop_1990,pop_2023,Country,OWID Region,Color
NAM,61.359,67.385,7281.77892577888,10105.5147732431,1369303,2963095,Namibia,Africa,yellow
LTU,71.1607317073171,76.9878048780488,20586.2276127503,46159.7077686555,3697838,2871585,Lithuania,Europe,blue
JAM,71.705,71.479,8742.16514897684,10291.3126701479,2379877,2839786,Jamaica,North America,cyan
ALB,72.71,79.602,5332.58042761971,17992.1048140275,3286542,2745972,Albania,Europe,blue
GMB,51.278,65.86,2653.78291392125,2932.28059517915,1054696,2697845,Gambia,Africa,yellow
QAT,73.405,82.368,71584.4466289456,116159.142559471,440175,2656032,Qatar,Asia,green
GAB,60.736,68.337,23884.8106997586,18702.6905177984,983734,2484789,Gabon,Africa,yellow
BWA,60.104,69.163,10520.9402101702,18846.2504612042,1305696,2480244,Botswana,Africa,yellow
MDA,67.92,71.198,15902.8943232278,15855.2737421842,2977912,2457783,Moldova,Europe,blue
LSO,59.317,57.375,1422.15056881284,2595.82952310453,1809696,2311472,Lesotho,Africa,yellow
GNB,46.89,64.085,1913.54990898225,2578.80453427114,973669,2153339,Guinea-Bissau,Africa,yellow
SVN,73.2048780487805,81.9780487804878,25351.4112234029,47868.3858574849,1998161,2120461,Slovenia,Europe,blue
LVA,69.2731707317073,75.6780487804878,17508.8436591613,38367.7785951631,2663151,1877445,Latvia,Europe,blue
GNQ,51.397,63.707,1122.81767364664,15688.2384192658,474274,1847549,Equatorial Guinea,Africa,yellow
MKD,71.1720975609756,75.3160975609756,12904.5564982525,23345.0612633542,2063689,1827816,North Macedonia,Europe,blue
BHR,72.587,81.284,41856.54450772,57213.0913557711,514797,1577059,Bahrain,Asia,green
TLS,45.185,67.689,2143.84813616463,4328.50782017194,760345,1384286,East Timor,Asia,green
EST,69.4756097560976,78.490243902439,19360.0271803713,41706.5197431068,1569174,1370286,Estonia,Europe,blue
TTO,67.591,73.49,11963.6642969417,31705.8333833611,1252208,1367510,Trinidad and Tobago,North America,cyan
CYP,76.044,81.648,27669.19140625,52195.34765625,788351,1344976,Cyprus,Europe,blue
MUS,69.4048780487805,73.4121951219512,8951.33801354384,26590.4238819278,1058775,1261041,Mauritius,Africa,yellow
SWZ,61.167,64.123,5528.90558902903,10132.1872615949,872428,1230506,Eswatini,Africa,yellow
FJI,65.056,67.316,8126.89069259408,13652.4908672464,773316,924145,Fiji,Oceania,magenta
